@relation 'SWD-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1,2,4,7,8,9,10-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R3,5,11-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R11-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R11'

@attribute In1 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute In2 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute In3 {'\'(-inf-1.75]\'','\'(1.75-2.5]\'','\'(2.5-3.25]\'','\'(3.25-inf)\''}
@attribute In4 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute In5 {'\'(-inf-1.75]\'','\'(1.75-2.5]\'','\'(2.5-3.25]\'','\'(3.25-inf)\''}
@attribute In6 {'\'(-inf-1.5]\'','\'(1.5-inf)\''}
@attribute In7 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute In8 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute In9 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute In10 {'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\''}
@attribute Out1 {'\'(-inf-2.75]\'','\'(2.75-3.5]\'','\'(3.5-4.25]\'','\'(4.25-inf)\''}

@data
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(3.25-inf)\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.25-inf)\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(3.25-inf)\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-2.75]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(4.25-inf)\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.25-inf)\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-2.75]\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(3.25-inf)\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(3.25-inf)\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-2.75]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(4.25-inf)\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(4.25-inf)\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(-inf-1.666667]\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(3.25-inf)\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(-inf-2.75]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(-inf-2.75]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(-inf-1.666667]\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(3.5-4.25]\''
'\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.75-3.5]\''
'\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.5-3.25]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.5]\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(3.5-4.25]\''
'\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(2.5-3.25]\'','\'(-inf-1.666667]\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.75-3.5]\''
'\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(2.333333-inf)\'','\'(3.5-4.25]\''
'\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(2.5-3.25]\'','\'(2.333333-inf)\'','\'(1.75-2.5]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(4.25-inf)\''
'\'(2.333333-inf)\'','\'(1.666667-2.333333]\'','\'(1.75-2.5]\'','\'(-inf-1.666667]\'','\'(-inf-1.75]\'','\'(1.5-inf)\'','\'(2.333333-inf)\'','\'(-inf-1.666667]\'','\'(-inf-1.666667]\'','\'(2.333333-inf)\'','\'(-inf-2.75]\''
'\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(-inf-1.75]\'','\'(2.333333-inf)\'','\'(3.25-inf)\'','\'(-inf-1.5]\'','\'(1.666667-2.333333]\'','\'(-inf-1.666667]\'','\'(1.666667-2.333333]\'','\'(2.333333-inf)\'','\'(2.75-3.5]\''
